%time,field.header.seq,field.header.stamp,field.header.frame_id,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w,field.orientation_covariance0,field.orientation_covariance1,field.orientation_covariance2,field.orientation_covariance3,field.orientation_covariance4,field.orientation_covariance5,field.orientation_covariance6,field.orientation_covariance7,field.orientation_covariance8,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.angular_velocity_covariance0,field.angular_velocity_covariance1,field.angular_velocity_covariance2,field.angular_velocity_covariance3,field.angular_velocity_covariance4,field.angular_velocity_covariance5,field.angular_velocity_covariance6,field.angular_velocity_covariance7,field.angular_velocity_covariance8,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.linear_acceleration_covariance0,field.linear_acceleration_covariance1,field.linear_acceleration_covariance2,field.linear_acceleration_covariance3,field.linear_acceleration_covariance4,field.linear_acceleration_covariance5,field.linear_acceleration_covariance6,field.linear_acceleration_covariance7,field.linear_acceleration_covariance8
1.65548676634546E+018,6,1.65548676634522E+018,vectornav,0.009520429186523,0.743647336959839,-0.668498575687408,0.002767403144389,0,0,0,0,0,0,0,0,0,0.000224299757974,0.000354567775503,0.000681093719322,0.01,0,0,0,0.01,0,0,0,0.01,0.181329965591431,9.83067989349365,1.07495379447937,0.01,0,0,0,0.01,0,0,0,0.01
1.65548676637034E+018,7,1.65548676637018E+018,vectornav,0.009517693892121,0.743645370006561,-0.668500781059265,0.002770757535473,0,0,0,0,0,0,0,0,0,-9.85380902420729E-05,0.000239618122578,-0.000295332982205,0.01,0,0,0,0.01,0,0,0,0.01,0.171949774026871,9.82574844360352,1.05216884613037,0.01,0,0,0,0.01,0,0,0,0.01
1.65548676639534E+018,8,1.65548676639517E+018,vectornav,0.009507525712252,0.743646740913391,-0.668499410152435,0.002782706171274,0,0,0,0,0,0,0,0,0,-0.000188562800759,-0.000661845086142,0.000655717914924,0.01,0,0,0,0.01,0,0,0,0.01,0.172845304012299,9.81509876251221,1.05076551437378,0.01,0,0,0,0.01,0,0,0,0.01
1.65548676642061E+018,9,1.65548676642033E+018,vectornav,0.009512769989669,0.74364709854126,-0.668498992919922,0.002774432534352,0,0,0,0,0,0,0,0,0,-0.000894187949598,0.000732187880203,-0.000234582927078,0.01,0,0,0,0.01,0,0,0,0.01,0.192586287856102,9.83139038085938,1.04026317596436,0.01,0,0,0,0.01,0,0,0,0.01
1.65548676644551E+018,10,1.65548676644522E+018,vectornav,0.009517734870315,0.743647992610931,-0.668497920036316,0.002766105113551,0,0,0,0,0,0,0,0,0,0.000340579543263,0.000774553976953,0.000271165859886,0.01,0,0,0,0.01,0,0,0,0.01,0.182832911610603,9.83877754211426,1.05290460586548,0.01,0,0,0,0.01,0,0,0,0.01
1.65548676647045E+018,11,1.65548676647024E+018,vectornav,0.009523744694889,0.743647694587708,-0.668498158454895,0.002759573748335,0,0,0,0,0,0,0,0,0,9.29887755773962E-06,1.92667357623577E-05,-0.00048635317944,0.01,0,0,0,0.01,0,0,0,0.01,0.16462042927742,9.82562160491943,1.05866408348084,0.01,0,0,0,0.01,0,0,0,0.01
1.65548676649557E+018,12,1.65548676649528E+018,vectornav,0.009525272063911,0.743646323680878,-0.668499708175659,0.002756951842457,0,0,0,0,0,0,0,0,0,-0.000377843069145,0.00044660968706,-0.000122871890198,0.01,0,0,0,0.01,0,0,0,0.01,0.158206507563591,9.83904838562012,1.05451035499573,0.01,0,0,0,0.01,0,0,0,0.01
1.65548676652032E+018,13,1.65548676652017E+018,vectornav,0.00952616520226,0.743650734424591,-0.668494760990143,0.002757545793429,0,0,0,0,0,0,0,0,0,-0.001849915483035,-0.000178286107257,-0.000241964473389,0.01,0,0,0,0.01,0,0,0,0.01,0.175740495324135,9.84215450286865,1.04645240306854,0.01,0,0,0,0.01,0,0,0,0.01
1.65548676654542E+018,14,1.65548676654522E+018,vectornav,0.009525485336781,0.743649661540985,-0.668496072292328,0.002766247140244,0,0,0,0,0,0,0,0,0,0.000638346245978,5.35112340003252E-05,0.000162335170899,0.01,0,0,0,0.01,0,0,0,0.01,0.175017461180687,9.78527355194092,1.04659867286682,0.01,0,0,0,0.01,0,0,0,0.01
1.65548676657042E+018,15,1.65548676657015E+018,vectornav,0.009528235532343,0.743646144866943,-0.668499946594238,0.002768624108285,0,0,0,0,0,0,0,0,0,0.000925320666283,0.000351515598595,0.000279333209619,0.01,0,0,0,0.01,0,0,0,0.01,0.176789581775665,9.80293655395508,1.04912161827087,0.01,0,0,0,0.01,0,0,0,0.01
